COUNTRY_ID : AR, COUNTRY_NAME : Argentina, REGION_ID : 2
COUNTRY_ID : AU, COUNTRY_NAME : Australia, REGION_ID : 3
COUNTRY_ID : BE, COUNTRY_NAME : Belgium, REGION_ID : 1
COUNTRY_ID : BR, COUNTRY_NAME : Brazil, REGION_ID : 2
COUNTRY_ID : CA, COUNTRY_NAME : Canada, REGION_ID : 2
COUNTRY_ID : CH, COUNTRY_NAME : Switzerland, REGION_ID : 1
COUNTRY_ID : CN, COUNTRY_NAME : China, REGION_ID : 3
COUNTRY_ID : DE, COUNTRY_NAME : Germany, REGION_ID : 1
COUNTRY_ID : DK, COUNTRY_NAME : Denmark, REGION_ID : 1
COUNTRY_ID : EG, COUNTRY_NAME : Egypt, REGION_ID : 4
COUNTRY_ID : FR, COUNTRY_NAME : France, REGION_ID : 1
COUNTRY_ID : IL, COUNTRY_NAME : Israel, REGION_ID : 4
COUNTRY_ID : IN, COUNTRY_NAME : India, REGION_ID : 3
COUNTRY_ID : IT, COUNTRY_NAME : Italy, REGION_ID : 1
COUNTRY_ID : JP, COUNTRY_NAME : Japan, REGION_ID : 3
COUNTRY_ID : KW, COUNTRY_NAME : Kuwait, REGION_ID : 4
COUNTRY_ID : ML, COUNTRY_NAME : Malaysia, REGION_ID : 3
COUNTRY_ID : MX, COUNTRY_NAME : Mexico, REGION_ID : 2
COUNTRY_ID : NG, COUNTRY_NAME : Nigeria, REGION_ID : 4
COUNTRY_ID : NL, COUNTRY_NAME : Netherlands, REGION_ID : 1
COUNTRY_ID : SG, COUNTRY_NAME : Singapore, REGION_ID : 3
COUNTRY_ID : UK, COUNTRY_NAME : United Kingdom, REGION_ID : 1
COUNTRY_ID : US, COUNTRY_NAME : United States of America, REGION_ID : 2
COUNTRY_ID : ZM, COUNTRY_NAME : Zambia, REGION_ID : 4
COUNTRY_ID : ZW, COUNTRY_NAME : Zimbabwe, REGION_ID : 4
